symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,14,1365,1360,1360,-0.37
BICC,BICI COTE D'IVOIRE,66,6380,5910,6380,-0.08
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,2365,5950,5700,5950,4.39
BOABF,BANK OF AFRICA BURKINA FASO,1603,5195,5200,5195,-0.10
BOAC,BANK OF AFRICA COTE D'IVOIRE,1128,3655,3700,3700,1.23
BOAM,BANK OF AFRICA MALI,946,1355,1360,1350,-0.37
BOAN,BANK OF AFRICA NIGER,65,5590,5500,5600,0.18
BOAS,BANK OF AFRICA SENEGAL,0,2395,0,2395,0.00
CABC,SICABLE COTE D'IVOIRE,10,1000,1000,1000,-6.98
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,90,8485,8200,8485,3.48
CFAC,CFAO MOTORS COTE D'IVOIRE,445,945,945,930,0.54
CIEC,CIE COTE D'IVOIRE,871,1750,1800,1720,0.29
ECOC,ECOBANK COTE D'IVOIRE,139,4695,4600,4695,-0.11
ETIT,Ecobank Transnational Incorporated TOGO,32335,19,18,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,411,1185,1080,1185,7.24
NEIC,NEI-CEDA COTE D'IVOIRE,1039,710,665,710,-0.70
NSBC,NSIA BANQUE COTE D'IVOIRE,190,4560,4245,4560,7.42
NTLC,NESTLE COTE D'IVOIRE,1248,7275,6840,7275,-1.56
ONTBF,ONATEL BURKINA FASO,520,3295,3295,3300,0.00
ORGT,ORAGROUP TOGO,882,2850,2800,2800,-1.75
PALC,PALM COTE D'IVOIRE,1337,9515,9515,9700,-0.51
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,30,3000,3000,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,606,905,905,900,-0.55
SDCC,SODE COTE D'IVOIRE,50,4650,4505,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,12515,1200,1240,1200,0.00
SEMC,CROWN SIEM COTE D'IVOIRE,142,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,192,710,700,700,-1.41
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,418,4395,4270,4400,3.04
SICC,SICOR COTE D'IVOIRE,2,6200,6200,6200,-6.98
SIVC,AIR LIQUIDE COTE D'IVOIRE,728,700,700,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,6,90000,90000,90000,5.88
SMBC,SMB COTE D'IVOIRE,309,6715,6705,6750,0.52
SNTS,SONATEL SENEGAL,506,14595,14600,14650,-0.34
SOGC,SOGB COTE D'IVOIRE,352,5685,5390,5685,1.52
SPHC,SAPH COTE D'IVOIRE,35,5290,4905,5290,-0.19
STAC,SETAO COTE D'IVOIRE,2,1135,1135,1140,7.04
STBC,SITAB COTE D'IVOIRE,156,4960,5100,4960,-2.75
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,61,2165,2035,2170,-0.23
TTLS,TOTAL SENEGAL,276,2405,2400,2405,0.21
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,3359,810,805,800,-4.19
