symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,37,1460,1400,1460,7.35
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,1020,5530,5530,5530,-7.06
BOABF,BANK OF AFRICA BURKINA FASO,1497,5005,5005,5025,-3.27
BOAC,BANK OF AFRICA COTE D'IVOIRE,4283,3700,3595,3700,0.00
BOAM,BANK OF AFRICA MALI,26,1355,1355,1355,0.00
BOAN,BANK OF AFRICA NIGER,98,5600,5600,5600,0.00
BOAS,BANK OF AFRICA SENEGAL,116,2395,2395,2350,-1.88
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,2613,8495,8485,8495,0.12
CFAC,CFAO MOTORS COTE D'IVOIRE,33,930,925,925,-0.54
CIEC,CIE COTE D'IVOIRE,604,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,395,4695,4650,4690,-0.11
ETIT,Ecobank Transnational Incorporated TOGO,65788,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,31,1185,1200,1200,1.27
NEIC,NEI-CEDA COTE D'IVOIRE,7,710,710,710,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,271,4560,4560,4560,0.00
NTLC,NESTLE COTE D'IVOIRE,60,6900,6900,7000,-4.11
ONTBF,ONATEL BURKINA FASO,188,3210,3210,3210,0.00
ORGT,ORAGROUP TOGO,0,2800,0,2800,0.00
PALC,PALM COTE D'IVOIRE,138,9750,9750,9750,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,3000,0,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,7,890,885,885,-0.56
SCRC,SUCRIVOIRE COTE D'IVOIRE,0,900,0,900,0.00
SDCC,SODE COTE D'IVOIRE,52,4650,4600,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,15250,1240,1240,1250,0.81
SEMC,CROWN SIEM COTE D'IVOIRE,33,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,48,11600,11600,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,1064,700,710,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,364,4350,4330,4350,-1.14
SICC,SICOR COTE D'IVOIRE,5,6200,6200,6200,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,20,750,750,750,7.14
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,1048,6750,6700,6750,0.00
SNTS,SONATEL SENEGAL,1087,14650,14600,14500,-1.02
SOGC,SOGB COTE D'IVOIRE,10,5685,5685,5685,0.00
SPHC,SAPH COTE D'IVOIRE,116,5200,5190,5250,0.96
STAC,SETAO COTE D'IVOIRE,3,1140,1145,1145,0.44
STBC,SITAB COTE D'IVOIRE,0,4960,0,4960,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,115,2100,2090,2090,-0.48
TTLS,TOTAL SENEGAL,90,2500,2500,2500,3.95
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,4852,800,850,800,0.00
