symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,14,1365,1360,1360,-0.37
BICC,BICI COTE D'IVOIRE,0,6385,0,6385,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,285,5700,5700,5700,0.00
BOABF,BANK OF AFRICA BURKINA FASO,30,5200,5200,5200,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,908,3655,3700,3700,1.23
BOAM,BANK OF AFRICA MALI,0,1355,0,1355,0.00
BOAN,BANK OF AFRICA NIGER,20,5590,5500,5500,-1.61
BOAS,BANK OF AFRICA SENEGAL,0,2395,0,2395,0.00
CABC,SICABLE COTE D'IVOIRE,6,1000,1000,1000,-6.98
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,12,8200,8200,8200,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,95,945,945,945,2.16
CIEC,CIE COTE D'IVOIRE,240,1720,1800,1720,0.29
ECOC,ECOBANK COTE D'IVOIRE,30,4600,4600,4600,-2.13
ETIT,Ecobank Transnational Incorporated TOGO,5400,19,18,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,210,1080,1080,1085,-1.81
NEIC,NEI-CEDA COTE D'IVOIRE,0,715,0,715,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,135,4245,4245,4245,0.00
NTLC,NESTLE COTE D'IVOIRE,10,6840,6840,6840,-7.44
ONTBF,ONATEL BURKINA FASO,45,3300,3295,3250,-1.52
ORGT,ORAGROUP TOGO,63,2850,2800,2800,-1.75
PALC,PALM COTE D'IVOIRE,122,9515,9515,9520,-2.36
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,30,3000,3000,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,601,905,905,900,-0.55
SDCC,SODE COTE D'IVOIRE,50,4650,4505,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,15,1240,1240,1240,3.33
SEMC,CROWN SIEM COTE D'IVOIRE,0,640,0,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,160,710,700,700,-1.41
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,216,4270,4270,4330,1.41
SICC,SICOR COTE D'IVOIRE,2,6200,6200,6200,-6.98
SIVC,AIR LIQUIDE COTE D'IVOIRE,233,700,700,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,0,85000,0,85000,0.00
SMBC,SMB COTE D'IVOIRE,193,6715,6705,6750,0.52
SNTS,SONATEL SENEGAL,0,14700,0,14700,0.00
SOGC,SOGB COTE D'IVOIRE,25,5390,5390,5390,-3.75
SPHC,SAPH COTE D'IVOIRE,20,4905,4905,4905,-7.45
STAC,SETAO COTE D'IVOIRE,1,1135,1135,1135,6.57
STBC,SITAB COTE D'IVOIRE,61,5100,5100,5100,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,0,2175,0,2175,0.00
TTLS,TOTAL SENEGAL,0,2400,0,2400,0.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,1384,805,805,800,-4.19
